source,target,Var1,Var2,r,p,edge,disease,edgeType,abs.r
Sarcinomyces,Xerochrysium,fungi_196,fungi_228,0.564774746,3.64E-13,fungi_196|fungi_228,preCOPD,ff,0.564774746
Violaceomyces,Xerochrysium,fungi_944,fungi_228,0.573141779,1.36E-13,fungi_944|fungi_228,preCOPD,ff,0.573141779
Hypoxylon,Xeromyces,fungi_541,fungi_220,0.483374683,1.45E-09,fungi_541|fungi_220,preCOPD,ff,0.483374683
Phaeoisaria,Xeromyces,fungi_481,fungi_220,0.505418266,1.90E-10,fungi_481|fungi_220,preCOPD,ff,0.505418266
Prosthemium,Xeromyces,fungi_147,fungi_220,0.4157945,3.24E-07,fungi_147|fungi_220,preCOPD,ff,0.4157945
Lentinus,Xylariales,fungi_788,fungi_516,0.405419774,6.73E-07,fungi_788|fungi_516,preCOPD,ff,0.405419774
Hyphodontia,Xylodon,fungi_712,fungi_716,0.466723859,6.16E-09,fungi_712|fungi_716,preCOPD,ff,0.466723859
Resupinatus,Xylodon,fungi_633,fungi_716,0.489981795,8.03E-10,fungi_633|fungi_716,preCOPD,ff,0.489981795
Schizoporaceae_2,Xylodon,fungi_717,fungi_716,0.500850577,2.94E-10,fungi_717|fungi_716,preCOPD,ff,0.500850577
Microascaceae,Zasmidium,fungi_475,fungi_56,0.434129038,8.38E-08,fungi_475|fungi_56,preCOPD,ff,0.434129038
Neosetophoma,Zasmidium,fungi_138,fungi_56,0.428982127,1.23E-07,fungi_138|fungi_56,preCOPD,ff,0.428982127
Lentinula,Zygosporium,fungi_597,fungi_546,0.409688713,5.00E-07,fungi_597|fungi_546,preCOPD,ff,0.409688713
