source,target,Var1,Var2,r,p,edge,disease,edgeType,abs.r
Haemophilus,Moryella,bacteria_7,bacteria_39,-0.360384800725807,0,bacteria_7|bacteria_39,Health,bb,0.360384800725807
Atopobium,Moryella,bacteria_24,bacteria_39,0.429290952516745,0,bacteria_24|bacteria_39,Health,bb,0.429290952516745
Mogibacteriaceae,Parvimonas,bacteria_17,bacteria_40,0.469314825746716,0,bacteria_17|bacteria_40,Health,bb,0.469314825746716
Clostridiaceae,Parvimonas,bacteria_19,bacteria_40,0.55219651153411,0,bacteria_19|bacteria_40,Health,bb,0.55219651153411
Filifactor,Parvimonas,bacteria_27,bacteria_40,0.468578080692545,0,bacteria_27|bacteria_40,Health,bb,0.468578080692545
Treponema,Bacteroidales,bacteria_15,bacteria_41,0.646665025148791,0,bacteria_15|bacteria_41,Health,bb,0.646665025148791
Filifactor,Bacteroidales,bacteria_27,bacteria_41,0.463789178056254,0,bacteria_27|bacteria_41,Health,bb,0.463789178056254
Dialister,Bacteroidales,bacteria_35,bacteria_41,0.388129954777181,0,bacteria_35|bacteria_41,Health,bb,0.388129954777181
Prevotella,Mogibacterium,bacteria_1,bacteria_42,0.483087355220606,0,bacteria_1|bacteria_42,Health,bb,0.483087355220606
Neisseriaceae,Mogibacterium,bacteria_2,bacteria_42,-0.519325212802608,0,bacteria_2|bacteria_42,Health,bb,0.519325212802608
Haemophilus,Mogibacterium,bacteria_7,bacteria_42,-0.494024002366052,0,bacteria_7|bacteria_42,Health,bb,0.494024002366052
Actinobacillus,Mogibacterium,bacteria_14,bacteria_42,-0.455233369611064,0,bacteria_14|bacteria_42,Health,bb,0.455233369611064
Mogibacteriaceae,Mogibacterium,bacteria_17,bacteria_42,0.497480061680592,0,bacteria_17|bacteria_42,Health,bb,0.497480061680592
Bulleidia,Mogibacterium,bacteria_18,bacteria_42,0.592862230345192,0,bacteria_18|bacteria_42,Health,bb,0.592862230345192
Clostridiaceae,Mogibacterium,bacteria_19,bacteria_42,0.378414257404529,0,bacteria_19|bacteria_42,Health,bb,0.378414257404529
Aggregatibacter,Mogibacterium,bacteria_21,bacteria_42,-0.376759370174334,0,bacteria_21|bacteria_42,Health,bb,0.376759370174334
Neisseria,Mogibacterium,bacteria_23,bacteria_42,-0.489377745887343,0,bacteria_23|bacteria_42,Health,bb,0.489377745887343
Atopobium,Mogibacterium,bacteria_24,bacteria_42,0.513403443183132,0,bacteria_24|bacteria_42,Health,bb,0.513403443183132
Oribacterium,Mogibacterium,bacteria_28,bacteria_42,0.436229846193814,0,bacteria_28|bacteria_42,Health,bb,0.436229846193814
Clostridiales,Mogibacterium,bacteria_30,bacteria_42,0.429758488352748,0,bacteria_30|bacteria_42,Health,bb,0.429758488352748
Treponema,Catonella,bacteria_15,bacteria_43,0.477954123413817,0,bacteria_15|bacteria_43,Health,bb,0.477954123413817
Mogibacteriaceae,Catonella,bacteria_17,bacteria_43,0.467650628613111,0,bacteria_17|bacteria_43,Health,bb,0.467650628613111
Clostridiaceae,Catonella,bacteria_19,bacteria_43,0.510189140172802,0,bacteria_19|bacteria_43,Health,bb,0.510189140172802
Campylobacter,Catonella,bacteria_26,bacteria_43,0.350421555113278,8.88178419700125e-16,bacteria_26|bacteria_43,Health,bb,0.350421555113278
Filifactor,Catonella,bacteria_27,bacteria_43,0.544094874610673,0,bacteria_27|bacteria_43,Health,bb,0.544094874610673
Parvimonas,Catonella,bacteria_40,bacteria_43,0.389290149946809,0,bacteria_40|bacteria_43,Health,bb,0.389290149946809
Bacteroidales,Catonella,bacteria_41,bacteria_43,0.358166915414711,2.22044604925031e-16,bacteria_41|bacteria_43,Health,bb,0.358166915414711
Treponema,Mycoplasma,bacteria_15,bacteria_44,0.570689803364408,0,bacteria_15|bacteria_44,Health,bb,0.570689803364408
Mogibacteriaceae,Mycoplasma,bacteria_17,bacteria_44,0.556035371260443,0,bacteria_17|bacteria_44,Health,bb,0.556035371260443
Clostridiaceae,Mycoplasma,bacteria_19,bacteria_44,0.422503103959141,0,bacteria_19|bacteria_44,Health,bb,0.422503103959141
Filifactor,Mycoplasma,bacteria_27,bacteria_44,0.618605989581103,0,bacteria_27|bacteria_44,Health,bb,0.618605989581103
Parvimonas,Mycoplasma,bacteria_40,bacteria_44,0.403456278737845,0,bacteria_40|bacteria_44,Health,bb,0.403456278737845
Catonella,Mycoplasma,bacteria_43,bacteria_44,0.354983507075343,4.44089209850063e-16,bacteria_43|bacteria_44,Health,bb,0.354983507075343
Porphyromonas,Tannerella,bacteria_6,bacteria_45,0.390964138138187,0,bacteria_6|bacteria_45,Health,bb,0.390964138138187
Treponema,Tannerella,bacteria_15,bacteria_45,0.475984099665282,0,bacteria_15|bacteria_45,Health,bb,0.475984099665282
Mogibacteriaceae,Tannerella,bacteria_17,bacteria_45,0.350389930053108,8.88178419700125e-16,bacteria_17|bacteria_45,Health,bb,0.350389930053108
Filifactor,Tannerella,bacteria_27,bacteria_45,0.418485022270941,0,bacteria_27|bacteria_45,Health,bb,0.418485022270941
Bacteroidales,Tannerella,bacteria_41,bacteria_45,0.383414391440856,0,bacteria_41|bacteria_45,Health,bb,0.383414391440856
Mycoplasma,Tannerella,bacteria_44,bacteria_45,0.35187100031363,6.66133814775094e-16,bacteria_44|bacteria_45,Health,bb,0.35187100031363
Treponema,Selenomonas,bacteria_15,bacteria_46,0.38726799729255,0,bacteria_15|bacteria_46,Health,bb,0.38726799729255
Dialister,Selenomonas,bacteria_35,bacteria_46,0.414076164101536,0,bacteria_35|bacteria_46,Health,bb,0.414076164101536
Streptococcus,Planococcaceae,bacteria_3,bacteria_48,0.365878708380627,0,bacteria_3|bacteria_48,Health,bb,0.365878708380627
Rothia,Planococcaceae,bacteria_8,bacteria_48,0.353140400950707,4.44089209850063e-16,bacteria_8|bacteria_48,Health,bb,0.353140400950707
