source,target,Var1,Var2,r,p,edge,disease,edgeType,abs.r
Bulleidia,Atopobium,bacteria_18,bacteria_24,0.593913571588796,2.88368401379913e-07,bacteria_18|bacteria_24,COPD,bb,0.593913571588796
Prevotella,Lautropia,bacteria_1,bacteria_25,-0.460017919739266,0.000148749805159998,bacteria_1|bacteria_25,COPD,bb,0.460017919739266
Neisseriaceae,Lautropia,bacteria_2,bacteria_25,0.476717936312322,7.82147261910726e-05,bacteria_2|bacteria_25,COPD,bb,0.476717936312322
Neisseria,Lautropia,bacteria_23,bacteria_25,0.570906759254712,1.03055765654503e-06,bacteria_23|bacteria_25,COPD,bb,0.570906759254712
Leptotrichia,Campylobacter,bacteria_10,bacteria_26,0.401393191037944,0.00111237887338822,bacteria_10|bacteria_26,COPD,bb,0.401393191037944
Treponema,Campylobacter,bacteria_15,bacteria_26,0.517288239015808,1.41779481459547e-05,bacteria_15|bacteria_26,COPD,bb,0.517288239015808
SR1,Campylobacter,bacteria_22,bacteria_26,0.460978531038459,0.000143477977992301,bacteria_22|bacteria_26,COPD,bb,0.460978531038459
Treponema,Filifactor,bacteria_15,bacteria_27,0.677105636389218,1.10782849560565e-09,bacteria_15|bacteria_27,COPD,bb,0.677105636389218
Mogibacteriaceae,Filifactor,bacteria_17,bacteria_27,0.531456794976356,7.4049243385943e-06,bacteria_17|bacteria_27,COPD,bb,0.531456794976356
Haemophilus,Pasteurellaceae,bacteria_7,bacteria_31,0.469276714758499,0.000104582849891344,bacteria_7|bacteria_31,COPD,bb,0.469276714758499
Prevotella,Clostridiales,bacteria_1,bacteria_30,0.453125279403469,0.000192110478433039,bacteria_1|bacteria_30,COPD,bb,0.453125279403469
Bulleidia,Clostridiales,bacteria_18,bacteria_30,0.482832405047468,6.12937180386464e-05,bacteria_18|bacteria_30,COPD,bb,0.482832405047468
Atopobium,Clostridiales,bacteria_24,bacteria_30,0.406197857865523,0.000955916851153038,bacteria_24|bacteria_30,COPD,bb,0.406197857865523
Neisseriaceae,Capnocytophaga,bacteria_2,bacteria_32,0.523999042856802,1.04611753317663e-05,bacteria_2|bacteria_32,COPD,bb,0.523999042856802
Neisseria,Capnocytophaga,bacteria_23,bacteria_32,0.427483059510261,0.000475079977776183,bacteria_23|bacteria_32,COPD,bb,0.427483059510261
Rothia,Corynebacterium,bacteria_8,bacteria_33,0.41818690130657,0.00064838775766729,bacteria_8|bacteria_33,COPD,bb,0.41818690130657
Neisseriaceae,Kingella,bacteria_2,bacteria_34,0.523374460204192,1.07643432731841e-05,bacteria_2|bacteria_34,COPD,bb,0.523374460204192
Aggregatibacter,Kingella,bacteria_21,bacteria_34,0.492684529411675,4.09772613167991e-05,bacteria_21|bacteria_34,COPD,bb,0.492684529411675
Neisseria,Kingella,bacteria_23,bacteria_34,0.41002691569366,0.000845770266357349,bacteria_23|bacteria_34,COPD,bb,0.41002691569366
Capnocytophaga,Kingella,bacteria_32,bacteria_34,0.439984149201612,0.000308274630726579,bacteria_32|bacteria_34,COPD,bb,0.439984149201612
Haemophilus,Dialister,bacteria_7,bacteria_35,-0.476662118471924,7.83873197860441e-05,bacteria_7|bacteria_35,COPD,bb,0.476662118471924
Prevotella,Moryella,bacteria_1,bacteria_39,0.405202980945208,0.000986579121318165,bacteria_1|bacteria_39,COPD,bb,0.405202980945208
Neisseriaceae,Moryella,bacteria_2,bacteria_39,-0.437636001293671,0.000334789275847847,bacteria_2|bacteria_39,COPD,bb,0.437636001293671
Atopobium,Moryella,bacteria_24,bacteria_39,0.435957876324386,0.000354995143275527,bacteria_24|bacteria_39,COPD,bb,0.435957876324386
Clostridiales,Moryella,bacteria_30,bacteria_39,0.43977214540008,0.000310587297995379,bacteria_30|bacteria_39,COPD,bb,0.43977214540008
Mogibacteriaceae,Parvimonas,bacteria_17,bacteria_40,0.433909204764064,0.00038116728758375,bacteria_17|bacteria_40,COPD,bb,0.433909204764064
Clostridiaceae,Parvimonas,bacteria_19,bacteria_40,0.505463852568907,2.38543990425111e-05,bacteria_19|bacteria_40,COPD,bb,0.505463852568907
Treponema,Bacteroidales,bacteria_15,bacteria_41,0.603149527970054,1.68097382680088e-07,bacteria_15|bacteria_41,COPD,bb,0.603149527970054
Campylobacter,Bacteroidales,bacteria_26,bacteria_41,0.454310556174533,0.000183913847349171,bacteria_26|bacteria_41,COPD,bb,0.454310556174533
Filifactor,Bacteroidales,bacteria_27,bacteria_41,0.526018602883591,9.53442166062857e-06,bacteria_27|bacteria_41,COPD,bb,0.526018602883591
Prevotella,Mogibacterium,bacteria_1,bacteria_42,0.427682776252767,0.00047187000661264,bacteria_1|bacteria_42,COPD,bb,0.427682776252767
Mogibacteriaceae,Mogibacterium,bacteria_17,bacteria_42,0.553987286504376,2.47643948481091e-06,bacteria_17|bacteria_42,COPD,bb,0.553987286504376
Bulleidia,Mogibacterium,bacteria_18,bacteria_42,0.617177348334284,7.16212436024932e-08,bacteria_18|bacteria_42,COPD,bb,0.617177348334284
Atopobium,Mogibacterium,bacteria_24,bacteria_42,0.407770563006852,0.0009091980384901,bacteria_24|bacteria_42,COPD,bb,0.407770563006852
Pasteurellaceae,Mogibacterium,bacteria_31,bacteria_42,-0.477230938682001,7.66448002964548e-05,bacteria_31|bacteria_42,COPD,bb,0.477230938682001
Parvimonas,Mogibacterium,bacteria_40,bacteria_42,0.435609780500164,0.000359323233185327,bacteria_40|bacteria_42,COPD,bb,0.435609780500164
Mogibacteriaceae,Mycoplasma,bacteria_17,bacteria_44,0.505071107036595,2.42622228578959e-05,bacteria_17|bacteria_44,COPD,bb,0.505071107036595
Filifactor,Mycoplasma,bacteria_27,bacteria_44,0.441290039901568,0.00029437240611907,bacteria_27|bacteria_44,COPD,bb,0.441290039901568
Parvimonas,Mycoplasma,bacteria_40,bacteria_44,0.48701509878215,5.17401160649023e-05,bacteria_40|bacteria_44,COPD,bb,0.48701509878215
Porphyromonas,Tannerella,bacteria_6,bacteria_45,0.486897546952577,5.19886611338727e-05,bacteria_6|bacteria_45,COPD,bb,0.486897546952577
Treponema,Tannerella,bacteria_15,bacteria_45,0.536138113143218,5.93595837505845e-06,bacteria_15|bacteria_45,COPD,bb,0.536138113143218
Campylobacter,Tannerella,bacteria_26,bacteria_45,0.473600118074865,8.84111819936528e-05,bacteria_26|bacteria_45,COPD,bb,0.473600118074865
Filifactor,Tannerella,bacteria_27,bacteria_45,0.438067287266574,0.000329768604956815,bacteria_27|bacteria_45,COPD,bb,0.438067287266574
Bacteroidales,Tannerella,bacteria_41,bacteria_45,0.42452207551933,0.000525058899739639,bacteria_41|bacteria_45,COPD,bb,0.42452207551933
Catonella,Tannerella,bacteria_43,bacteria_45,0.440853025093297,0.000298959701745316,bacteria_43|bacteria_45,COPD,bb,0.440853025093297
