Sample1	Sample2	Group	Distance	Neighbor1	Neighbor2	Street1	Street2	District1	District2
S1425	S1250	Same_neighbor	0.49968824025	Panyu11	Panyu11	Panyu1	Panyu1	Panyu	Panyu
S1425	S1183	Same_neighbor	0.213742360966	Panyu11	Panyu11	Panyu1	Panyu1	Panyu	Panyu
S1425	S1295	Same_neighbor	0.318119464728	Panyu11	Panyu11	Panyu1	Panyu1	Panyu	Panyu
S1425	S1221	Same_neighbor	0.299289186504	Panyu11	Panyu11	Panyu1	Panyu1	Panyu	Panyu
S1425	S1395	Same_neighbor	0.207881280584	Panyu11	Panyu11	Panyu1	Panyu1	Panyu	Panyu
S1425	S1185	Same_neighbor	0.224591594551	Panyu11	Panyu11	Panyu1	Panyu1	Panyu	Panyu
S1026	S1053	Same_neighbor	0.30502556439	Wengyuan11	Wengyuan11	Wengyuan1	Wengyuan1	Wengyuan	Wengyuan
S1026	S1074	Same_neighbor	0.290185810775	Wengyuan11	Wengyuan11	Wengyuan1	Wengyuan1	Wengyuan	Wengyuan
S1026	S1052	Same_neighbor	0.361017582556	Wengyuan11	Wengyuan11	Wengyuan1	Wengyuan1	Wengyuan	Wengyuan
S1026	S1016	Same_neighbor	0.415139046877	Wengyuan11	Wengyuan11	Wengyuan1	Wengyuan1	Wengyuan	Wengyuan
S1026	S1034	Same_neighbor	0.372365633511	Wengyuan11	Wengyuan11	Wengyuan1	Wengyuan1	Wengyuan	Wengyuan
S1209	S1395	Same_neighbor	0.322359394339	Panyu11	Panyu11	Panyu1	Panyu1	Panyu	Panyu
S1209	S1185	Same_neighbor	0.306771416347	Panyu11	Panyu11	Panyu1	Panyu1	Panyu	Panyu
S1209	S1295	Same_neighbor	0.426112980435	Panyu11	Panyu11	Panyu1	Panyu1	Panyu	Panyu
S1209	S1221	Same_neighbor	0.318368875386	Panyu11	Panyu11	Panyu1	Panyu1	Panyu	Panyu
S1209	S1250	Same_neighbor	0.541588728542	Panyu11	Panyu11	Panyu1	Panyu1	Panyu	Panyu
S1209	S1183	Same_neighbor	0.308517270691	Panyu11	Panyu11	Panyu1	Panyu1	Panyu	Panyu
S1209	S1210	Same_neighbor	0.319366506063	Panyu11	Panyu11	Panyu1	Panyu1	Panyu	Panyu
S1446	S1445	Same_neighbor	0.339568526302	Zhuhai11	Zhuhai11	Zhuhai1	Zhuhai1	Zhuhai	Zhuhai
S1446	S1430	Same_neighbor	0.321237063054	Zhuhai11	Zhuhai11	Zhuhai1	Zhuhai1	Zhuhai	Zhuhai
S1454	S1446	Same_neighbor	0.402294546989	Zhuhai11	Zhuhai11	Zhuhai1	Zhuhai1	Zhuhai	Zhuhai
S1454	S1430	Same_neighbor	0.352288317619	Zhuhai11	Zhuhai11	Zhuhai1	Zhuhai1	Zhuhai	Zhuhai
S1454	S1445	Same_neighbor	0.339194413982	Zhuhai11	Zhuhai11	Zhuhai1	Zhuhai1	Zhuhai	Zhuhai
S704	S713	Same_neighbor	0.238059609667	Taishan11	Taishan11	Taishan1	Taishan1	Taishan	Taishan
S704	S717	Same_neighbor	0.504801101228	Taishan11	Taishan11	Taishan1	Taishan1	Taishan	Taishan
S704	S710	Same_neighbor	0.208255396771	Taishan11	Taishan11	Taishan1	Taishan1	Taishan	Taishan
S676	S690	Same_neighbor	0.36014465792	Taishan12	Taishan12	Taishan1	Taishan1	Taishan	Taishan
S676	S681	Same_neighbor	0.2663673801	Taishan12	Taishan12	Taishan1	Taishan1	Taishan	Taishan
S1139	S1085	Same_neighbor	0.264621526838	Wengyuan12	Wengyuan12	Wengyuan1	Wengyuan1	Wengyuan	Wengyuan
S1139	S1120	Same_neighbor	0.281830655641	Wengyuan12	Wengyuan12	Wengyuan1	Wengyuan1	Wengyuan	Wengyuan
S1240	S1383	Same_neighbor	0.288938774778	Panyu32	Panyu32	Panyu3	Panyu3	Panyu	Panyu
S1214	S1402	Same_neighbor	0.335079187997	Panyu32	Panyu32	Panyu3	Panyu3	Panyu	Panyu
S1214	S1331	Same_neighbor	0.242673648243	Panyu32	Panyu32	Panyu3	Panyu3	Panyu	Panyu
S1214	S1222	Same_neighbor	0.357650582642	Panyu32	Panyu32	Panyu3	Panyu3	Panyu	Panyu
S1214	S1240	Same_neighbor	0.361391694	Panyu32	Panyu32	Panyu3	Panyu3	Panyu	Panyu
S1214	S1383	Same_neighbor	0.391195910522	Panyu32	Panyu32	Panyu3	Panyu3	Panyu	Panyu
S1502	S1515	Same_neighbor	0.19740616021	Zhuhai12	Zhuhai12	Zhuhai1	Zhuhai1	Zhuhai	Zhuhai
S1502	S1495	Same_neighbor	0.157999750789	Zhuhai12	Zhuhai12	Zhuhai1	Zhuhai1	Zhuhai	Zhuhai
S1502	S1493	Same_neighbor	0.175832400236	Zhuhai12	Zhuhai12	Zhuhai1	Zhuhai1	Zhuhai	Zhuhai
S1502	S1511	Same_neighbor	0.216859954741	Zhuhai12	Zhuhai12	Zhuhai1	Zhuhai1	Zhuhai	Zhuhai
