Sample1	Sample2	Group	Distance	Neighbor1	Neighbor2	Street1	Street2	District1	District2
S1304	S1395	Same_neighbor	0.655077766965	Panyu11	Panyu11	Panyu1	Panyu1	Panyu	Panyu
S1304	S1295	Same_neighbor	0.483074106191	Panyu11	Panyu11	Panyu1	Panyu1	Panyu	Panyu
S1304	S1221	Same_neighbor	0.583714545543	Panyu11	Panyu11	Panyu1	Panyu1	Panyu	Panyu
S1304	S1185	Same_neighbor	0.615736505039	Panyu11	Panyu11	Panyu1	Panyu1	Panyu	Panyu
S1304	S1360	Same_neighbor	0.72003659702	Panyu11	Panyu11	Panyu1	Panyu1	Panyu	Panyu
S1304	S1209	Same_neighbor	0.556267154334	Panyu11	Panyu11	Panyu1	Panyu1	Panyu	Panyu
S1304	S1332	Same_neighbor	0.59194876398	Panyu11	Panyu11	Panyu1	Panyu1	Panyu	Panyu
S1304	S1250	Same_neighbor	0.754803295142	Panyu11	Panyu11	Panyu1	Panyu1	Panyu	Panyu
S1304	S1210	Same_neighbor	0.76395242441	Panyu11	Panyu11	Panyu1	Panyu1	Panyu	Panyu
S1304	S1425	Same_neighbor	0.890210429726	Panyu11	Panyu11	Panyu1	Panyu1	Panyu	Panyu
S1520	S1493	Same_neighbor	0.715462031577	Zhuhai12	Zhuhai12	Zhuhai1	Zhuhai1	Zhuhai	Zhuhai
S1520	S1495	Same_neighbor	0.687099725123	Zhuhai12	Zhuhai12	Zhuhai1	Zhuhai1	Zhuhai	Zhuhai
S1520	S1515	Same_neighbor	0.60658737323	Zhuhai12	Zhuhai12	Zhuhai1	Zhuhai1	Zhuhai	Zhuhai
S1520	S1501	Same_neighbor	0.887465690381	Zhuhai12	Zhuhai12	Zhuhai1	Zhuhai1	Zhuhai	Zhuhai
S1378	S1404	Same_neighbor	0.587374199556	Panyu31	Panyu31	Panyu3	Panyu3	Panyu	Panyu
S1378	S1248	Same_neighbor	0.801463861404	Panyu31	Panyu31	Panyu3	Panyu3	Panyu	Panyu
S1378	S1275	Same_neighbor	0.831655992495	Panyu31	Panyu31	Panyu3	Panyu3	Panyu	Panyu
S1378	S1264	Same_neighbor	0.798719119597	Panyu31	Panyu31	Panyu3	Panyu3	Panyu	Panyu
S1378	S1285	Same_neighbor	0.825251601651	Panyu31	Panyu31	Panyu3	Panyu3	Panyu	Panyu
S1378	S1387	Same_neighbor	0.698078685094	Panyu31	Panyu31	Panyu3	Panyu3	Panyu	Panyu
S1378	S1340	Same_neighbor	0.721866423636	Panyu31	Panyu31	Panyu3	Panyu3	Panyu	Panyu
S1378	S1273	Same_neighbor	0.818847207728	Panyu31	Panyu31	Panyu3	Panyu3	Panyu	Panyu
S1378	S1283	Same_neighbor	0.754803295142	Panyu31	Panyu31	Panyu3	Panyu3	Panyu	Panyu
S1378	S1334	Same_neighbor	0.687099724218	Panyu31	Panyu31	Panyu3	Panyu3	Panyu	Panyu
S1387	S1334	Same_neighbor	0.666056725165	Panyu31	Panyu31	Panyu3	Panyu3	Panyu	Panyu
S1387	S1283	Same_neighbor	0.724611165036	Panyu31	Panyu31	Panyu3	Panyu3	Panyu	Panyu
S1387	S1273	Same_neighbor	0.875571819813	Panyu31	Panyu31	Panyu3	Panyu3	Panyu	Panyu
S1085	S1120	Same_neighbor	0.922232389728	Wengyuan12	Wengyuan12	Wengyuan1	Wengyuan1	Wengyuan	Wengyuan
S1278	S1310	Same_neighbor	0.374199450123	Panyu22	Panyu22	Panyu2	Panyu2	Panyu	Panyu
S1278	S1415	Same_neighbor	0.685269898528	Panyu22	Panyu22	Panyu2	Panyu2	Panyu	Panyu
S1278	S1292	Same_neighbor	0.501372368003	Panyu22	Panyu22	Panyu2	Panyu2	Panyu	Panyu
S1278	S1315	Same_neighbor	0.571820676715	Panyu22	Panyu22	Panyu2	Panyu2	Panyu	Panyu
S1278	S1423	Same_neighbor	0.47483988895	Panyu22	Panyu22	Panyu2	Panyu2	Panyu	Panyu
S1278	S1410	Same_neighbor	0.601097895803	Panyu22	Panyu22	Panyu2	Panyu2	Panyu	Panyu
S1278	S1317	Same_neighbor	0.58005489495	Panyu22	Panyu22	Panyu2	Panyu2	Panyu	Panyu
S1278	S1419	Same_neighbor	0.651418115129	Panyu22	Panyu22	Panyu2	Panyu2	Panyu	Panyu
S1404	S1285	Same_neighbor	0.717291857293	Panyu31	Panyu31	Panyu3	Panyu3	Panyu	Panyu
S1404	S1264	Same_neighbor	0.766697163417	Panyu31	Panyu31	Panyu3	Panyu3	Panyu	Panyu
S1404	S1248	Same_neighbor	0.709972552985	Panyu31	Panyu31	Panyu3	Panyu3	Panyu	Panyu
S1404	S1275	Same_neighbor	0.787740166257	Panyu31	Panyu31	Panyu3	Panyu3	Panyu	Panyu
S1404	S1340	Same_neighbor	0.763037511867	Panyu31	Panyu31	Panyu3	Panyu3	Panyu	Panyu
S1404	S1387	Same_neighbor	0.494053065229	Panyu31	Panyu31	Panyu3	Panyu3	Panyu	Panyu
S1404	S1273	Same_neighbor	0.763952423528	Panyu31	Panyu31	Panyu3	Panyu3	Panyu	Panyu
S1404	S1283	Same_neighbor	0.67246111769	Panyu31	Panyu31	Panyu3	Panyu3	Panyu	Panyu
S1404	S1334	Same_neighbor	0.627630373883	Panyu31	Panyu31	Panyu3	Panyu3	Panyu	Panyu
S1446	S1455	Same_neighbor	0.848124428544	Zhuhai11	Zhuhai11	Zhuhai1	Zhuhai1	Zhuhai	Zhuhai
S1446	S1430	Same_neighbor	0.764867338295	Zhuhai11	Zhuhai11	Zhuhai1	Zhuhai1	Zhuhai	Zhuhai
S1446	S1435	Same_neighbor	0.802378774605	Zhuhai11	Zhuhai11	Zhuhai1	Zhuhai1	Zhuhai	Zhuhai
S1446	S1454	Same_neighbor	0.816102471632	Zhuhai11	Zhuhai11	Zhuhai1	Zhuhai1	Zhuhai	Zhuhai
S1446	S1469	Same_neighbor	0.774016470209	Zhuhai11	Zhuhai11	Zhuhai1	Zhuhai1	Zhuhai	Zhuhai
S1446	S1445	Same_neighbor	0.718206771436	Zhuhai11	Zhuhai11	Zhuhai1	Zhuhai1	Zhuhai	Zhuhai
S1446	S1462	Same_neighbor	0.783165600349	Zhuhai11	Zhuhai11	Zhuhai1	Zhuhai1	Zhuhai	Zhuhai
S1446	S1449	Same_neighbor	0.806953341131	Zhuhai11	Zhuhai11	Zhuhai1	Zhuhai1	Zhuhai	Zhuhai
S1446	S1450	Same_neighbor	0.895699909791	Zhuhai11	Zhuhai11	Zhuhai1	Zhuhai1	Zhuhai	Zhuhai
S1446	S1436	Same_neighbor	0.784080512244	Zhuhai11	Zhuhai11	Zhuhai1	Zhuhai1	Zhuhai	Zhuhai
S1446	S1453	Same_neighbor	0.694419030694	Zhuhai11	Zhuhai11	Zhuhai1	Zhuhai1	Zhuhai	Zhuhai
S1422	S1281	Same_neighbor	0.564501372258	Panyu21	Panyu21	Panyu2	Panyu2	Panyu	Panyu
S1422	S1370	Same_neighbor	0.615736505231	Panyu21	Panyu21	Panyu2	Panyu2	Panyu	Panyu
S1422	S1421	Same_neighbor	0.776761207777	Panyu21	Panyu21	Panyu2	Panyu2	Panyu	Panyu
S1422	S1417	Same_neighbor	0.645928637938	Panyu21	Panyu21	Panyu2	Panyu2	Panyu	Panyu
S1422	S1280	Same_neighbor	0.550777676326	Panyu21	Panyu21	Panyu2	Panyu2	Panyu	Panyu
