#NAME	S1209	S1250	S1295	S1210	S1360	S1395	S1183	S1425	S1185	S1294	S1304	S1221	S1332	S1399	S1335	S1181	S1180	S1233	S1380	S1217	S1344	S1416	S1225	S1381	S1356	S1336	S1329	S1428	S1417	S1251	S1232	S1370	S1424	S1421	S1422	S1413	S1281	S1280	S1317	S1410	S1415	S1310	S1315	S1320	S1414	S1278	S1419	S1423	S1292	S1378	S1273	S1334	S1248	S1264	S1255	S1285	S1283	S1387	S1404	S1340	S1275	S1402	S1240	S1330	S1222	S1214	S1384	S1383	S1331	S999	S1007	S991	S990	S1043	S1074	S1026	S1052	S1034	S1016	S1053	S1085	S1120	S1139	S1122	S1151	S1131	S1096	S1127	S1092	S1152	S1123	S1107	S1134	S1124	S1089	S1115	S1083	S1005	S1006	S1015	S1001	S1106	S1088	S1039	S1057	S1013	S1445	S1430	S1446	S1436	S1450	S1454	S1449	S1435	S1462	S1469	S1453	S1455	S1495	S1512	S1515	S1533	S1520	S1511	S1501	S1502	S1493	S1494	S1534	S1492	S1499	S1531	S1470	S1476	S1475	S1487	S1567	S1566	S1474	S1583	S718	S713	S706	S704	S703	S717	S710	S690	S681	S676
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Capnodiaceae;g__Leptoxyphium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Capnodiales_fam_Incertae_sedis;g__Sporidesmajora	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium	0	0.001829826	0.007319305	0.021957914	0.01189387	0.000914913	0.010978957	0	0.021957914	0	0	0	0.001829826	0.000914913	0	0.007319305	0.006404392	0.003659652	0.141811528	0.016468435	0	0	0	0	0.016468435	0	0.001829826	0.01189387	0.000914913	0	0.000914913	0.001829826	0	0.010064044	0.016468435	0.014638609	0.001829826	0.000914913	0	0.014638609	0.026532479	0.000914913	0.010064044	0.005489478	0.014638609	0.019213175	0	0.024702653	0.028362306	0.003659652	0.002744739	0.007319305	0	0	0.001829826	0.001829826	0.060384263	0.027447392	0.004574565	0.004574565	0	0.000914913	0.002744739	0.01189387	0.000914913	0	0.196706313	0.049405306	0.010978957	0.024702653	0.004574565	0.000914913	0.005489478	0.007319305	0.019213175	0.000914913	0	0.001829826	0	0.002744739	0.010064044	0.008234218	0.004574565	0.061299177	0.019213175	0.036596523	0.000914913	0.073193047	0.043000915	0.029277219	0.006404392	0.01189387	0.003659652	0.013723696	0.03568161	0.028362306	0.017383349	0.001829826	0	0.055809698	0.064958829	0.200365965	0.007319305	0.05032022	0.01189387	0.078682525	0	0.001829826	0.128087832	0	0.001829826	0.01189387	0	0	0	0.013723696	0.084172004	0	0.010064044	0.017383349	0.012808783	0	0.013723696	0.032936871	0.000914913	0.007319305	0.055809698	0.003659652	0.002744739	0.021957914	0.000914913	0.054894785	0	0	0	0.008234218	0.005489478	0.07410796	0	0.021043001	0.333943275	0.087831656	0.079597438	0.229643184	0.238792315	0.099725526	0.01189387	0.003659652	0.096065874	0.053064959
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Toxicocladosporium	0	0.005489478	0	0	0.000914913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005489478	0.000914913	0	0	0	0	0	0	0	0	0.028362306	0	0	0.1957914	0.008234218	0	0	0	0	0	0	0	0	0	0	0	0.001829826	0.08600183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000914913	0	0	0	0	0	0	0.000914913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001829826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.017383349	0.000914913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000914913	0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Dissoconiaceae;Other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Dissoconiaceae;g__Dissoconium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.036596523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Dissoconiaceae;g__Ramichloridium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007319305	0	0.000914913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.040256176	0	0	0	0.031107045	0	0	0	0	0	0.002744739	0	0	0	0	0	0.016468435	0	0	0	0	0	0	0.000914913	0	0	0	0	0	0	0.006404392	0	0	0	0	0	0	0.016468435	0	0	0	0.001829826	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000914913	0	0	0.003659652	0	0	0	0	0.008234218	0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Dissoconiaceae;g__Uwebraunia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001829826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;Other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.043000915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007319305	0	0	0	0	0	0	0	0	0.013723696	0.000914913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.009149131	0	0	0	0	0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Acrodontium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
