MicrobialFeature	NeissGroup	mean.Occup_Y	mean.Occup_N	FC	logFC
M00083	Neis_low	-295.974441566092	-225.802246897841	-70.1721946682505	-70.1721946682505
M00522	Neis_high	333.474271788714	332.798401873361	0.675869915353474	0.675869915353474
M00522	Neis_low	412.239313867049	403.634493960559	8.60481990649055	8.60481990649055
M00171	Neis_high	139.165454726576	334.433701276779	-195.268246550203	-195.268246550203
M00171	Neis_low	-214.543734704443	19.4530619514599	-233.996796655903	-233.996796655903
M00345	Neis_high	-63.8918999241888	-101.533749251807	37.6418493276179	37.6418493276179
M00345	Neis_low	476.25126337605	281.721816482534	194.529446893515	194.529446893515
M00435	Neis_high	-904.205482123045	-1251.75955048527	347.55406836222	347.55406836222
M00435	Neis_low	-947.843294285202	-1003.93612951182	56.0928352266135	56.0928352266135
M00186	Neis_high	-1020.21524221233	-997.657165432687	-22.5580767796408	-22.5580767796408
M00186	Neis_low	-924.790203440169	-861.776522173903	-63.0136812662666	-63.0136812662666
M00169	Neis_high	-593.176423641166	-850.287100715991	257.110677074824	257.110677074824
M00169	Neis_low	-309.703598990542	-61.9391185031214	-247.764480487421	-247.764480487421
M00280	Neis_high	-1011.37213336539	-1201.57378017011	190.201646804724	190.201646804724
M00280	Neis_low	-1021.11362865617	-965.30576482957	-55.807863826602	-55.807863826602
M00572	Neis_high	59.5193729362765	118.863379420014	-59.3440064837376	-59.3440064837376
M00572	Neis_low	-551.692138022281	-603.535803934195	51.8436659119143	51.8436659119143
M00303	Neis_high	337.159929019541	213.212669074624	123.947259944918	123.947259944918
M00303	Neis_low	-239.207841327582	2.74388501650683	-241.951726344089	-241.951726344089
M00491	Neis_high	91.5423701124708	-15.4211364072879	106.963506519759	106.963506519759
M00491	Neis_low	307.464257154415	-24.9033554020423	332.367612556457	332.367612556457
M00125	Neis_high	-192.589625738087	-222.314696192995	29.7250704549076	29.7250704549076
M00125	Neis_low	-112.79709792067	35.5551009703648	-148.352198891035	-148.352198891035
M00570	Neis_high	54.3229657104356	191.698159410327	-137.375193699892	-137.375193699892
M00570	Neis_low	-158.682161775957	-168.364405426442	9.68224365048471	9.68224365048471
M00387	Neis_high	-415.850677229518	-325.234783276171	-90.6158939533472	-90.6158939533472
M00387	Neis_low	-378.229003386932	-433.395373382495	55.1663699955633	55.1663699955633
M00236	Neis_high	-63.849111445579	-344.817424282646	280.968312837067	280.968312837067
M00236	Neis_low	501.255510799202	668.085496869072	-166.82998606987	-166.82998606987
M00181	Neis_high	988.373523467073	934.421351271983	53.9521721950899	53.9521721950899
M00181	Neis_low	954.993827924788	960.4685744664	-5.47474654161226	-5.47474654161226
M00247	Neis_high	146.526353177402	-85.3108608533463	231.837214030749	231.837214030749
M00247	Neis_low	-82.4459000615473	-268.431588740742	185.985688679195	185.985688679195
M00033	Neis_high	-112.860824703997	-10.5872753272077	-102.27354937679	-102.27354937679
M00033	Neis_low	-300.905114658658	7.45744292175307	-308.362557580412	-308.362557580412
M00276	Neis_high	-279.117281812351	-504.278528639563	225.161246827211	225.161246827211
M00276	Neis_low	30.3805410860057	-151.643478219599	182.024019305605	182.024019305605
M00089	Neis_high	-208.95129458702	-319.180123993314	110.228829406293	110.228829406293
M00089	Neis_low	481.918139814339	122.900771234625	359.017368579714	359.017368579714
M00352	Neis_high	1248.78398034865	1276.14823940791	-27.3642590592574	-27.3642590592574
M00352	Neis_low	1235.98725722573	1229.65359517692	6.33366204881145	6.33366204881145
M00097	Neis_high	1283.54835227561	1192.21111285244	91.3372394231744	91.3372394231744
M00097	Neis_low	1194.29454282944	1156.71000795755	37.5845348718935	37.5845348718935
M00432	Neis_high	335.376331162402	703.025433713332	-367.649102550929	-367.649102550929
M00432	Neis_low	-587.829219847523	-678.077441943875	90.2482220963523	90.2482220963523
M00342	Neis_high	76.6989507739933	52.9734890668263	23.725461707167	23.725461707167
M00342	Neis_low	-614.342701198464	-363.646669433942	-250.696031764522	-250.696031764522
M00452	Neis_high	289.037137483735	253.415325165287	35.6218123184478	35.6218123184478
M00452	Neis_low	118.859658166396	-114.038158789329	232.897816955725	232.897816955725
M00548	Neis_high	992.980510793799	1050.23913272036	-57.2586219265593	-57.2586219265593
M00548	Neis_low	1051.56029363548	1025.67130163885	25.8889919966307	25.8889919966307
M00337	Neis_high	777.986620002036	829.540370614473	-51.5537506124364	-51.5537506124364
