MicrobialFeature	NeissGroup	mean.Occup_Y	mean.Occup_N	FC	logFC
K02666	Neis_low	1.42072158731045e-06	8.09703061699918e-06	0.631082625045822	-0.664099191200682
K02667	Neis_high	4.82302251130004e-06	1.50613280836876e-06	1.28827145993994	0.365436625008744
K02667	Neis_low	4.24295787158783e-07	4.55639523342817e-06	0.716131680954898	-0.481703202937811
K02668	Neis_high	4.06828343496259e-06	1.77180080124188e-06	1.19508337530469	0.257111271714516
K02668	Neis_low	4.633343986213e-07	4.89461226387139e-06	0.702491223890489	-0.509447892797581
K02669	Neis_high	0.000189017341793054	0.000193910712071987	0.976002387372344	-0.0350434181585971
K02669	Neis_low	0.000267618449573002	0.000285935861743096	0.938103438825555	-0.0921810863759304
K02670	Neis_high	8.48632313662631e-06	4.54690622308189e-06	1.27080788541097	0.34574594716908
K02670	Neis_low	1.76311612090639e-06	5.00226014148271e-06	0.784089597832011	-0.350909574523616
K02671	Neis_high	1.61808350541078e-06	6.62646554021218e-06	0.69877049197929	-0.517109408175317
K02671	Neis_low	2.58728911933255e-06	1.58086863800535e-05	0.487715218588605	-1.03588910418315
K02672	Neis_high	2.38823961947913e-06	2.45772749363139e-06	0.99442210674557	-0.00806972595302316
K02672	Neis_low	2.34268729357601e-06	6.81248484275817e-07	1.1555472482216	0.208576250183217
K02673	Neis_high	5.90995286982193e-06	1.02959403803607e-05	0.783898285650126	-0.351261624613216
K02673	Neis_low	7.33101759508228e-07	1.25564255330585e-06	0.953575214269385	-0.0685813577401413
K02674	Neis_high	2.28419269359503e-06	9.27065054044719e-07	1.12419873340536	0.168897094593307
K02674	Neis_low	3.89373261152442e-08	1.09395147267341e-08	1.00279672166107	0.00402918483949009
K02675	Neis_high	2.63030914059412e-07	4.39373887728567e-07	0.983107897507489	-0.0245783317736569
K02675	Neis_low	1.08794719016746e-06	1.53758854122112e-06	0.961028134306644	-0.0573494280605116
K02676	Neis_high	1.35043110213489e-05	2.23500633435967e-05	0.726561514631508	-0.460843145485105
K02676	Neis_low	5.142017818733e-06	1.11700094576732e-05	0.715257961929947	-0.483464442817173
K02679	Neis_high	1.09595761832422e-06	4.21195042431495e-06	0.780748404479399	-0.357070378898971
K02679	Neis_low	5.8827426184546e-06	7.24723197918117e-06	0.920886472543906	-0.118904783948912
K02680	Neis_high	2.69239428026795e-06	4.5301386978261e-06	0.873521894334491	-0.195084230953184
K02680	Neis_low	9.25343258010488e-06	3.61768010453734e-06	1.41385554898516	0.499634730183901
K02681	Neis_high	1.8186001617362e-06	5.42010731076172e-06	0.766440850478905	-0.383753637658877
K02681	Neis_low	1.13148348664902e-05	7.21884500926628e-06	1.23787831617159	0.307869504145104
K02682	Neis_high	2.48563444445758e-06	3.8232677447752e-06	0.903233206140914	-0.146829569079586
K02682	Neis_low	5.95261010244708e-06	6.62675715560439e-06	0.959454086756173	-0.0597143248336007
K02686	Neis_high	5.55014353128553e-05	5.67136182585893e-05	0.981830052433442	-0.0264547686466872
K02686	Neis_low	3.74870648279618e-05	3.51273040008114e-05	1.05229119885176	0.0735339945595387
K02687	Neis_high	0.000522639014469874	0.000511484914027081	1.02138911432098	0.0305325884053553
K02687	Neis_low	0.000635423707672819	0.00061997877089268	1.02451659880261	0.0349433584987196
K02688	Neis_high	0	1.50171096940734e-08	0.998500540784944	-0.00216488585852948
K02688	Neis_low	7.91705325196098e-08	0	1.00791705325196	0.0113769168279846
K02689	Neis_high	1.59647014651152e-05	3.22378872918081e-05	0.614725383533826	-0.70198603613512
K02689	Neis_low	8.73867695607713e-07	1.02425900768458e-05	0.537177685974368	-0.896528717528444
K02690	Neis_high	1.50719950673118e-05	3.04680978425108e-05	0.619549630548097	-0.690708237254943
K02690	Neis_low	3.38386396847519e-07	9.16566473488497e-06	0.539422271017284	-0.8905130078283
K02691	Neis_high	5.32811010934562e-05	0.00011363120363638	0.511853797683444	-0.966196307079687
K02691	Neis_low	4.65346809408261e-07	2.85840873237267e-05	0.271234789658294	-1.88238585871208
K02692	Neis_high	5.33560192861647e-08	0	1.00533560192862	0.00767718341009469
K02692	Neis_low	4.36390335290378e-07	1.18520113182808e-06	0.933053434827656	-0.0999683900660637
K02693	Neis_high	5.26988904061837e-08	6.0604465465128e-08	0.999214204764129	-0.00113410853686767
K02693	Neis_low	0	3.18011712402266e-06	0.758718599076298	-0.3983631907933
K02694	Neis_high	0	6.31341687612735e-07	0.940615050652699	-0.08832367814087
K02694	Neis_low	0	2.09983908846286e-06	0.826457271612393	-0.2749878617296
K02695	Neis_high	0	4.33734341688446e-07	0.958429616138927	-0.0612556057959247
K02695	Neis_low	4.60848562492226e-07	0	1.04608485624922	0.0649998847822826
K02697	Neis_high	9.17770941545863e-07	2.14701276919374e-07	1.06882919486007	0.0960313203952214
K02697	Neis_low	0	7.4280220304136e-06	0.573788579251795	-0.801408842048777
K02698	Neis_high	5.67420748394386e-07	9.36184364589861e-07	0.966280413359755	-0.0494861767810251
K02698	Neis_low	4.61575935912619e-08	3.90285321190723e-06	0.72259682530397	-0.468737178517616
K02699	Neis_high	1.30247577113193e-05	2.69636590696705e-05	0.622902555938019	-0.682921602682101
K02699	Neis_low	0	9.11725549148866e-06	0.523087636949361	-0.934875422219228
K02703	Neis_high	0.000545252917533188	0.000740184016066489	0.740155622675884	-0.434099455959166
K02703	Neis_low	1.73888646298309e-05	0.000313041544881572	0.084784341406836	-3.56005834787154
K02704	Neis_high	7.62172324992839e-06	2.70411638716061e-05	0.475733519362666	-1.07177441620328
K02704	Neis_low	4.47039244631908e-07	5.93964079472785e-06	0.655412463754349	-0.609524986508344
K02705	Neis_high	1.23531642520187e-05	2.17805110691601e-05	0.703360754752313	-0.507663255380161
K02705	Neis_low	2.7776771436904e-06	7.81414341760267e-06	0.717277100793092	-0.479397521693118
K02706	Neis_high	1.57705419631498e-05	2.51790837993363e-05	0.732552959882257	-0.448995032011064
K02706	Neis_low	9.74215460765261e-07	1.23266945734863e-05	0.491528892673505	-1.02465187243817
K02707	Neis_high	1.54184185368624e-05	2.97693027092813e-05	0.6391466987157	-0.645780994357481
K02707	Neis_low	2.60993481722714e-06	1.1276284969228e-05	0.592675593293892	-0.754685447131913
