phenotype	taxon	Neis_high.Pvalue	Neis_low.Pvalue	Neis_high.Padj	Neis_low.Padj
Occupational_pollution	M00172	0.717105038089642	0.0344018285970296	1	1
Occupational_pollution	M00173	0.728106370880244	0.164803265362513	1	1
Occupational_pollution	M00174	0.619801811219004	0.839609326782808	1	1
Occupational_pollution	M00175	0.914029592342388	0.417897627991312	1	1
Occupational_pollution	M00176	0.663785407610347	0.661593685412938	1	1
Occupational_pollution	M00177	0.833725397502857	0.520124743331971	1	1
Occupational_pollution	M00178	0.844701973639326	0.202521037847639	1	1
Occupational_pollution	M00179	0.940594290829616	0.462348921900853	1	1
Occupational_pollution	M00180	0.286103426333831	0.650937455192608	1	1
Occupational_pollution	M00181	0.372214177646605	0.811136923571765	1	1
Occupational_pollution	M00182	0.341962431305806	0.951837096010491	1	1
Occupational_pollution	M00183	0.523779772949662	0.0599170103122068	1	1
Occupational_pollution	M00184	0.710854897602855	0.669945482270876	1	1
Occupational_pollution	M00185	0.536325154786952	0.106631649657369	1	1
Occupational_pollution	M00186	0.792614151987	0.574471659533822	1	1
Occupational_pollution	M00188	0.408309703329892	0.80125245647873	1	1
Occupational_pollution	M00189	0.945142954453651	0.284765721814227	1	1
Occupational_pollution	M00190	0.640824895725934	0.0746143188071726	1	1
Occupational_pollution	M00191	0.787228889457138	0.078325894092907	1	1
Occupational_pollution	M00193	0.186272924093631	0.412474374945663	1	1
Occupational_pollution	M00194	0.514349277140849	0.690532006679987	1	1
Occupational_pollution	M00196	0.127195890723196	0.791723138051514	1	1
Occupational_pollution	M00197	0.29515944795437	0.0563214039171793	1	1
Occupational_pollution	M00198	0.592314669119266	0.572101695885352	1	1
Occupational_pollution	M00200	0.917102784773826	0.886587131178656	1	1
Occupational_pollution	M00201	0.541421272018942	0.974314315418198	1	1
Occupational_pollution	M00204	0.811863875188915	0.466116988833391	1	1
Occupational_pollution	M00205	0.850328538541945	0.51249310829042	1	1
Occupational_pollution	M00206	0.750979696592253	0.704238055819082	1	1
Occupational_pollution	M00207	0.339107246865855	0.0624659379945823	1	1
Occupational_pollution	M00208	0.063107394449608	0.945526337021374	1	1
Occupational_pollution	M00209	0.339366310411485	0.754285893059434	1	1
Occupational_pollution	M00210	0.949367847670742	0.0146317490653277	1	1
Occupational_pollution	M00211	0.95408109601796	0.0160712103343873	1	1
Occupational_pollution	M00212	0.304331102381254	0.334410851677861	1	1
Occupational_pollution	M00213	0.594752501772872	0.154712139426873	1	1
Occupational_pollution	M00214	0.490745960990261	0.851784256814658	1	1
Occupational_pollution	M00215	0.460515983754832	0.850425808141815	1	1
Occupational_pollution	M00216	0.0637015840578284	0.24380369888232	1	1
Occupational_pollution	M00217	0.882200031761535	0.467403401981073	1	1
Occupational_pollution	M00219	0.85875506346961	0.598917124523804	1	1
Occupational_pollution	M00220	0.987422726617289	0.195895473848317	1	1
Occupational_pollution	M00221	0.581949748750003	0.275595835215323	1	1
Occupational_pollution	M00222	0.751058363600589	0.50316466873	1	1
Occupational_pollution	M00223	0.829990210254068	0.790986049266805	1	1
Occupational_pollution	M00224	0.804610755783503	0.854259919688231	1	1
Occupational_pollution	M00225	0.744963262654205	0.166861586711957	1	1
Occupational_pollution	M00226	0.453404088288412	0.266178877022621	1	1
Occupational_pollution	M00227	0.0790782700138346	0.39520250047774	1	1
Occupational_pollution	M00228	0.152558108969698	0.112050612035858	1	1
Occupational_pollution	M00229	0.710032029585818	0.0974334027249927	1	1
Occupational_pollution	M00230	0.327724095681315	0.44525748081568	1	1
Occupational_pollution	M00232	0.46957142846686	0.840872693704574	1	1
Occupational_pollution	M00233	0.234168080929932	0.564556769275353	1	1
Occupational_pollution	M00234	0.503253504135104	0.629035960107374	1	1
Occupational_pollution	M00235	0.945235263085712	0.267785017582623	1	1
Occupational_pollution	M00236	0.663774621289279	0.111929698096658	1	1
Occupational_pollution	M00237	0.738113634601953	0.927537741664958	1	1
Occupational_pollution	M00238	0.695693366956588	0.890501501095141	1	1
Occupational_pollution	M00239	0.607142369067943	0.170877400545081	1	1
Occupational_pollution	M00240	0.611047943734717	0.872559371874981	1	1
Occupational_pollution	M00241	0.905428900490904	0.388939793518213	1	1
Occupational_pollution	M00242	0.204673838976613	0.0352369640533969	1	1
Occupational_pollution	M00243	0.795674808190847	0.265099646341775	1	1
Occupational_pollution	M00244	0.271850539549142	0.603672411664096	1	1
Occupational_pollution	M00245	0.6029632437029	0.198813374136515	1	1
Occupational_pollution	M00246	0.321467988822961	0.216187483040512	1	1
Occupational_pollution	M00247	0.0381189382568116	0.0767700603812401	1	1
Occupational_pollution	M00249	0.323652339592798	0.362348105871112	1	1
Occupational_pollution	M00250	0.772153290478326	0.802142218013257	1	1
Occupational_pollution	M00252	0.589426733441885	0.777746845090259	1	1
Occupational_pollution	M00254	0.662280725416748	0.136991880691462	1	1
Occupational_pollution	M00255	0.565249984192095	0.0593850606850929	1	1
Occupational_pollution	M00256	0.305799606140542	0.352403125894572	1	1
Occupational_pollution	M00257	0.61911389227856	0.784165661395471	1	1
Occupational_pollution	M00258	0.845778054518353	0.0195408100044444	1	1
Occupational_pollution	M00259	0.872923584333254	0.692383011475639	1	1
Occupational_pollution	M00260	0.581313311606226	0.472218563051724	1	1
Occupational_pollution	M00265	0.540574716722606	0.62871773104004	1	1
Occupational_pollution	M00266	0.879409276603122	0.34708884242647	1	1
Occupational_pollution	M00267	0.831737505768491	0.824800648111179	1	1
Occupational_pollution	M00268	0.880572937553103	0.665749318760709	1	1
Occupational_pollution	M00269	0.272896574182432	0.00932077309352927	1	1
Occupational_pollution	M00270	0.591958668138099	0.798209859775885	1	1
Occupational_pollution	M00272	0.979155429938661	0.361668550580583	1	1
Occupational_pollution	M00273	0.888923696588171	0.789986110816125	1	1
Occupational_pollution	M00274	0.28328435593815	0.150617071222542	1	1
Occupational_pollution	M00275	0.983429237261982	0.241609085155896	1	1
Occupational_pollution	M00276	0.116655963119781	0.186088615022035	1	1
