phenotype	taxon	group	Nsamples	levels	levels_SampleSize	effect.size	R2	F.stat	Pvalue
Occupational_pollution	Gemellaceae	Neis_high	815	0:1	421:394	0.05007	0.000600071030645688	0.525751993160128	0.468609017025332
Occupational_pollution	Gemellaceae	Neis_low	811	0:1	390:421	0.07283	0.00106565372598576	0.953351303810555	0.329162499948854
Occupational_pollution	Leptotrichia	Neis_high	815	0:1	421:394	-0.07523	0.00158470932838069	1.44021307333962	0.2304579182099
Occupational_pollution	Leptotrichia	Neis_low	811	0:1	390:421	-0.10202	0.00198325373624955	1.73998055679129	0.187518249500919
Occupational_pollution	Prevotella_7	Neis_high	815	0:1	421:394	-0.03481	0.000288259992012076	0.242620432375698	0.622454186942403
Occupational_pollution	Prevotella_7	Neis_low	811	0:1	390:421	-0.1252	0.00317810070723468	2.78484888204307	0.0955504527729202
Occupational_pollution	Granulicatella	Neis_high	815	0:1	421:394	-0.09691	0.00210073557747584	1.75852960751848	0.185184154348346
Occupational_pollution	Granulicatella	Neis_low	811	0:1	390:421	0.03049	0.00019308812693675	0.159251714938993	0.689952748374765
Occupational_pollution	Actinomyces	Neis_high	815	0:1	421:394	0.12183	0.00379214262272894	3.26036626055108	0.071346727438363
Occupational_pollution	Actinomyces	Neis_low	811	0:1	390:421	-0.05817	0.000675553278020449	0.603686355802809	0.437404349814078
Occupational_pollution	Actinobacillus	Neis_high	815	0:1	421:394	0.015	5.963607671821e-05	0.0510975263155423	0.821221763738471
Occupational_pollution	Actinobacillus	Neis_low	811	0:1	390:421	0.15633	0.00456826961009137	3.84096993110769	0.0503609592827067
Occupational_pollution	Treponema	Neis_high	815	0:1	421:394	-0.05626	0.000922503169453776	0.806322011590917	0.369478372173583
Occupational_pollution	Treponema	Neis_low	811	0:1	390:421	0.13025	0.00318135839748489	2.71529518075047	0.0997827593678883
Occupational_pollution	Acinetobacter	Neis_high	815	0:1	421:394	0.0037	6.31701526219997e-06	0.00562028565053008	0.940258349000317
Occupational_pollution	Acinetobacter	Neis_low	811	0:1	390:421	0.06959	0.00196992173725535	1.64805681969579	0.199594847610598
Occupational_pollution	Mogibacteriaceae	Neis_high	815	0:1	421:394	0.03219	0.000410264715299716	0.376846873967398	0.539469016982485
Occupational_pollution	Mogibacteriaceae	Neis_low	811	0:1	390:421	0.05099	0.000481375938406137	0.406102469514674	0.524136493149285
Occupational_pollution	Bulleidia	Neis_high	815	0:1	421:394	-0.02681	0.000327680535143871	0.316421994839857	0.573922478972985
Occupational_pollution	Bulleidia	Neis_low	811	0:1	390:421	0.01201	2.5155206230365e-05	0.0232418964261722	0.878868103807597
Occupational_pollution	Clostridiaceae	Neis_high	815	0:1	421:394	-8e-04	2.30433024897558e-07	0.000208853619380175	0.988473139043128
Occupational_pollution	Clostridiaceae	Neis_low	811	0:1	390:421	0.0581	0.000566755091762947	0.494888860179522	0.481958992614055
Occupational_pollution	Lachnospiraceae	Neis_high	815	0:1	421:394	0.04303	0.000461390610014975	0.396907841020996	0.528869290842244
Occupational_pollution	Lachnospiraceae	Neis_low	811	0:1	390:421	-0.03292	0.000215805949083991	0.184623738262971	0.66754497801645
Occupational_pollution	Aggregatibacter	Neis_high	815	0:1	421:394	-0.02123	9.25615421173732e-05	0.0765220013190955	0.782138227421287
Occupational_pollution	Aggregatibacter	Neis_low	811	0:1	390:421	0.03788	0.000397298158229777	0.326704480824599	0.567766432181677
Occupational_pollution	SR1	Neis_high	815	0:1	421:394	0.00801	1.82366048787491e-05	0.01619826252854	0.898756592395789
Occupational_pollution	SR1	Neis_low	811	0:1	390:421	0.05835	0.000601864757402426	0.533636342985135	0.465295668424419
Occupational_pollution	Neisseria	Neis_high	815	0:1	421:394	-0.04802	0.000481323917173912	0.435250479674107	0.509612499333362
Occupational_pollution	Neisseria	Neis_low	811	0:1	390:421	0.06801	0.00179922127930097	1.55358346035987	0.212971591159164
Occupational_pollution	Atopobium	Neis_high	815	0:1	421:394	-0.02981	0.00044043661960752	0.390990035820054	0.531956667919118
Occupational_pollution	Atopobium	Neis_low	811	0:1	390:421	-0.05441	0.000499549892550716	0.442866110019068	0.505933917332066
Occupational_pollution	Lautropia	Neis_high	815	0:1	421:394	-0.16987	0.0045010501941933	3.65823983361829	0.0561471290513323
Occupational_pollution	Lautropia	Neis_low	811	0:1	390:421	0.04612	0.000860826036239081	0.698317089738741	0.403598948454433
Occupational_pollution	Campylobacter	Neis_high	815	0:1	421:394	-0.02748	0.000187123396576089	0.168860266001358	0.68123607968299
Occupational_pollution	Campylobacter	Neis_low	811	0:1	390:421	0.00179	6.72235139081989e-07	0.000579748117347885	0.98079642114404
Occupational_pollution	Filifactor	Neis_high	815	0:1	421:394	0.04182	0.000560418634185725	0.502536900045673	0.478592787891187
Occupational_pollution	Filifactor	Neis_low	811	0:1	390:421	0.00953	1.61781679470299e-05	0.0136300155541329	0.907089288066706
Occupational_pollution	Oribacterium	Neis_high	815	0:1	421:394	-0.02995	0.000251617940838625	0.226620940583111	0.634169916149017
Occupational_pollution	Oribacterium	Neis_low	811	0:1	390:421	-0.01697	5.67919231790892e-05	0.0483801107404238	0.825962406142979
Occupational_pollution	Leptotrichiaceae	Neis_high	815	0:1	421:394	0.04687	0.000763245596075622	0.630768006147651	0.42730780495021
Occupational_pollution	Leptotrichiaceae	Neis_low	811	0:1	390:421	0.06613	0.000737532383206944	0.616864783277339	0.432446992402084
Occupational_pollution	Clostridiales	Neis_high	815	0:1	421:394	0.00864	2.5238946698522e-05	0.0227319725349825	0.880193930174483
Occupational_pollution	Clostridiales	Neis_low	811	0:1	390:421	-0.06826	0.000874989082426128	0.795395888205033	0.372741326707447
Occupational_pollution	Pasteurellaceae	Neis_high	815	0:1	421:394	0.01877	0.000182029839266074	0.152853718434851	0.695926473870299
Occupational_pollution	Pasteurellaceae	Neis_low	811	0:1	390:421	-0.11329	0.00177349908603776	1.51153130570137	0.219266585455495
Occupational_pollution	Capnocytophaga	Neis_high	815	0:1	421:394	0.15476	0.00398201262947417	3.72376904067846	0.053994253131987
Occupational_pollution	Capnocytophaga	Neis_low	811	0:1	390:421	-0.01519	9.27582161590751e-05	0.0788354662808407	0.778954303048742
Occupational_pollution	Corynebacterium	Neis_high	815	0:1	421:394	0.01815	6.56091013976137e-05	0.0553696299517686	0.814029902651473
Occupational_pollution	Corynebacterium	Neis_low	811	0:1	390:421	0.14307	0.00462308776817712	3.89366165556594	0.0488120302167839
Occupational_pollution	Kingella	Neis_high	815	0:1	421:394	-0.0866	0.00125455662170823	1.02508831967276	0.311619291474087
Occupational_pollution	Kingella	Neis_low	811	0:1	390:421	0.02533	0.000314248667924899	0.260743905061876	0.609750236589022
Occupational_pollution	Dialister	Neis_high	815	0:1	421:394	-0.09724	0.00365583168621886	3.0169653015969	0.0827800328403926
Occupational_pollution	Dialister	Neis_low	811	0:1	390:421	0.07055	0.000885070795454853	0.716520793694125	0.397540342596164
Occupational_pollution	Oxalobacteraceae	Neis_high	815	0:1	421:394	-0.00748	4.53691929273997e-05	0.0398186588894769	0.841885953439176
Occupational_pollution	Oxalobacteraceae	Neis_low	811	0:1	390:421	0.02966	0.000329245087194743	0.279776476907451	0.596994296441373
Occupational_pollution	Erwinia	Neis_high	815	0:1	421:394	-0.07831	0.00219870180929015	1.79275369922498	0.180968973104092
Occupational_pollution	Erwinia	Neis_low	811	0:1	390:421	-0.04822	0.000371406739009907	0.302536929824765	0.582449683331092
Occupational_pollution	Moraxella	Neis_high	815	0:1	421:394	0.02599	0.000114623499760901	0.0943619984528319	0.758782785024957
Occupational_pollution	Moraxella	Neis_low	811	0:1	390:421	-0.0072	1.49731001372611e-05	0.0122514986482779	0.911892687996781
Occupational_pollution	Moryella	Neis_high	815	0:1	421:394	-0.12206	0.00531035918073412	4.3741849345178	0.0368001636032437
Occupational_pollution	Moryella	Neis_low	811	0:1	390:421	-0.20398	0.00763123390513785	6.27194117422562	0.0124641636713014
Occupational_pollution	Parvimonas	Neis_high	815	0:1	421:394	-0.03603	0.000475542135800686	0.41794848709204	0.518146757662348
Occupational_pollution	Parvimonas	Neis_low	811	0:1	390:421	0.09941	0.00173578158923186	1.45384614978041	0.228267855306526
Occupational_pollution	Bacteroidales	Neis_high	815	0:1	421:394	-0.02843	0.000217308947799581	0.178169172313545	0.673064073273481
Occupational_pollution	Bacteroidales	Neis_low	811	0:1	390:421	0.08768	0.00146151190450533	1.1977361174729	0.274103610237448
Occupational_pollution	Mogibacterium	Neis_high	815	0:1	421:394	0.02729	0.000302675366796651	0.270364757649347	0.603230147825208
Occupational_pollution	Mogibacterium	Neis_low	811	0:1	390:421	-0.09383	0.00161630460706802	1.40010331501401	0.237057334546518
Occupational_pollution	Catonella	Neis_high	815	0:1	421:394	-0.04211	0.000503825013059733	0.432067482723704	0.51116409581909
Occupational_pollution	Catonella	Neis_low	811	0:1	390:421	-0.14942	0.00414216691529327	3.49261899256136	0.0620077617580519
Occupational_pollution	Mycoplasma	Neis_high	815	0:1	421:394	-0.0341	0.000368371788386126	0.321854446962444	0.570653483849921
Occupational_pollution	Mycoplasma	Neis_low	811	0:1	390:421	0.11707	0.00243679715199992	2.04075568603235	0.153523366752593
Occupational_pollution	Tannerella	Neis_high	815	0:1	421:394	-0.06177	0.00096712395882903	0.866128335054769	0.352308388363327
Occupational_pollution	Tannerella	Neis_low	811	0:1	390:421	0.05608	0.000607431193854313	0.510596944749556	0.475088745597038
Occupational_pollution	Selenomonas	Neis_high	815	0:1	421:394	-0.03016	0.000242877179216602	0.210017168567266	0.646877633045631
Occupational_pollution	Selenomonas	Neis_low	811	0:1	390:421	0.03163	0.000194671842101854	0.169333607008935	0.680814812668125
Occupational_pollution	Actinomycetales	Neis_high	815	0:1	421:394	0.0329	0.000206493728705705	0.169014676682905	0.681098402006863
Occupational_pollution	Actinomycetales	Neis_low	811	0:1	390:421	0.00849	2.976321964826e-05	0.024269300091493	0.876240900911659
Occupational_pollution	Planococcaceae	Neis_high	815	0:1	421:394	0.03572	0.000286857867045257	0.254891726767452	0.613789707543302
Occupational_pollution	Planococcaceae	Neis_low	811	0:1	390:421	0.1779	0.00693629525479841	6.03199249412448	0.0142601718882477
Occupational_pollution	Weeksellaceae	Neis_high	815	0:1	421:394	0.0302	0.000156659679669907	0.1366763749179	0.711704993239776
Occupational_pollution	Weeksellaceae	Neis_low	811	0:1	390:421	-0.03751	0.00045570058054191	0.395021988383527	0.529850543374646
