phenotype	taxon	group	Nsamples	levels	levels_SampleSize	effect.size	R2	F.stat	Pvalue
Occupational_pollution	ARG120	Neis_low	555	0:1	260:295	-0.13447	0.00347006822733088	1.9103408317951	0.1674915924169
Occupational_pollution	ARG121	Neis_high	557	0:1	280:277	0.0435	0.00151469487318876	0.836025224739179	0.360938898800856
Occupational_pollution	ARG121	Neis_low	555	0:1	260:295	-0.03645	0.000172197734329277	0.0957285921257732	0.757135238219309
Occupational_pollution	ARG122	Neis_high	557	0:1	280:277	0.03124	0.00082660986554318	0.459685127214059	0.498057858180339
Occupational_pollution	ARG122	Neis_low	555	0:1	260:295	-0.11374	0.00166651340754099	0.913239617711096	0.339679998138458
Occupational_pollution	ARG123	Neis_high	557	0:1	280:277	0.00947	5.40833966531477e-05	0.0303065141554118	0.861860977933304
Occupational_pollution	ARG123	Neis_low	555	0:1	260:295	0.12297	0.00208301804521191	1.14675072458626	0.284704371155346
Occupational_pollution	ARG124	Neis_high	557	0:1	280:277	0.12174	0.00281985856421111	1.61754145690554	0.203975390576693
Occupational_pollution	ARG124	Neis_low	555	0:1	260:295	-0.09558	0.00216803884922575	1.25254597189005	0.263559776816021
Occupational_pollution	ARG125	Neis_high	557	0:1	280:277	-0.05656	0.000730792397095746	0.417656098023015	0.518379971655574
Occupational_pollution	ARG125	Neis_low	555	0:1	260:295	0.06294	0.000826408551590394	0.4574277661922	0.499115486269944
Occupational_pollution	ARG126	Neis_high	557	0:1	280:277	0.0035	2.81464135094833e-06	0.00161404624264875	0.96796811257403
Occupational_pollution	ARG126	Neis_low	555	0:1	260:295	0.06516	0.000901417430356533	0.503535351390338	0.47825429640766
Occupational_pollution	ARG127	Neis_high	557	0:1	280:277	-0.02184	0.000138653937244042	0.0790706166988484	0.778667189478769
Occupational_pollution	ARG127	Neis_low	555	0:1	260:295	-0.03203	0.000184694127573652	0.103279314979086	0.748052471129317
Occupational_pollution	ARG128	Neis_high	557	0:1	280:277	0.10017	0.00182279308137921	1.04154607966393	0.307913317273463
Occupational_pollution	ARG128	Neis_low	555	0:1	260:295	0.10852	0.0029483201195567	1.66991600580719	0.196817431966346
Occupational_pollution	ARG129	Neis_high	557	0:1	280:277	0.01141	7.59125657633329e-05	0.0422910971276324	0.837142395864481
Occupational_pollution	ARG129	Neis_low	555	0:1	260:295	0.23172	0.00734473253313627	4.06313664568386	0.0443192923289047
Occupational_pollution	ARG130	Neis_high	557	0:1	280:277	0.1115	0.00283949422481696	1.62341540186406	0.20315727289139
Occupational_pollution	ARG130	Neis_low	555	0:1	260:295	-0.08363	0.00144373532316478	0.815512814511602	0.366894346314682
Occupational_pollution	ARG131	Neis_high	557	0:1	280:277	0.04682	0.00212101274212925	1.17834160782631	0.278172029181252
Occupational_pollution	ARG131	Neis_low	555	0:1	260:295	0.02733	9.45065560721547e-05	0.0532569864405111	0.817576400311854
Occupational_pollution	ARG132	Neis_high	557	0:1	280:277	0.09346	0.00135765298681005	0.75225899573916	0.38614227712288
Occupational_pollution	ARG132	Neis_low	555	0:1	260:295	0.07694	0.00202248005639861	1.13440532017691	0.287309256562287
Occupational_pollution	ARG133	Neis_high	557	0:1	280:277	0.07216	0.000745967347646575	0.416004310497506	0.519207993861618
Occupational_pollution	ARG133	Neis_low	555	0:1	260:295	0.10706	0.00436814992069995	2.43851332408703	0.118968839814482
