phenotype	taxon	group	Nsamples	levels	levels_SampleSize	effect.size	R2	F.stat	Pvalue
Occupational_pollution	M00172	Neis_low	555	0:1	260:295	-331.89815	0.00800546286081487	4.4971786131828	0.0344018285970296
Occupational_pollution	M00321	Neis_high	557	0:1	280:277	-21.50908	0.000318236331376939	0.19187150255459	0.661536445995759
Occupational_pollution	M00321	Neis_low	555	0:1	260:295	17.59022	0.000246393093688138	0.140625527977514	0.707805828055777
Occupational_pollution	M00163	Neis_high	557	0:1	280:277	-19.48356	0.000176653893469617	0.104929696550851	0.746115956970545
Occupational_pollution	M00163	Neis_low	555	0:1	260:295	21.10698	0.00025103479222801	0.142212183614652	0.706238425035899
Occupational_pollution	M00129	Neis_high	557	0:1	280:277	53.91865	0.000198969603526201	0.112809668344839	0.737096555130502
Occupational_pollution	M00129	Neis_low	555	0:1	260:295	-117.71853	0.00124232374652029	0.703764563065549	0.401889430549222
Occupational_pollution	M00529	Neis_high	557	0:1	280:277	-106.0424	0.00123608042101883	0.712888014263248	0.398855835372165
Occupational_pollution	M00529	Neis_low	555	0:1	260:295	-83.7413	0.0009380001398454	0.524186171763291	0.469372081271315
Occupational_pollution	M00142	Neis_high	557	0:1	280:277	-26.72625	0.000109488717988632	0.0655324017540157	0.798052503401846
Occupational_pollution	M00142	Neis_low	555	0:1	260:295	-21.09438	9.33404556085135e-05	0.0542127160984269	0.815975983410356
Occupational_pollution	M00063	Neis_high	557	0:1	280:277	-11.25145	5.93004160675398e-06	0.00345829992015021	0.953127061530552
Occupational_pollution	M00063	Neis_low	555	0:1	260:295	-456.0743	0.0101034783087498	5.83119800383083	0.0160726439215679
Occupational_pollution	M00010	Neis_high	557	0:1	280:277	-120.17129	0.000915079414955597	0.539507338298557	0.462951722190203
Occupational_pollution	M00010	Neis_low	555	0:1	260:295	-70.83322	0.000402856340155022	0.231656785428923	0.630491242862465
Occupational_pollution	M00430	Neis_high	557	0:1	280:277	-28.62806	0.000503837819489261	0.300780330200581	0.583617395163828
Occupational_pollution	M00430	Neis_low	555	0:1	260:295	14.32944	0.000153551149595893	0.0871583296075954	0.76793375513711
Occupational_pollution	M00504	Neis_high	557	0:1	280:277	63.47754	0.000198128781620534	0.110434865967055	0.739776895561304
Occupational_pollution	M00504	Neis_low	555	0:1	260:295	-150.31546	0.00132170154244197	0.729607954658149	0.393385584945897
Occupational_pollution	M00258	Neis_high	557	0:1	280:277	37.86126	6.61331776764182e-05	0.0378693097176517	0.845778054518353
Occupational_pollution	M00258	Neis_low	555	0:1	260:295	409.57706	0.00932322773865044	5.48487484245924	0.0195408100044444
Occupational_pollution	M00439	Neis_high	557	0:1	280:277	253.67443	0.00241280491186998	1.3883760626963	0.239191869642848
Occupational_pollution	M00439	Neis_low	555	0:1	260:295	457.72972	0.00874116679773237	4.92046316136124	0.0269518072970572
Occupational_pollution	M00080	Neis_high	557	0:1	280:277	15.29733	2.79958504792038e-05	0.0163785975874269	0.89821271086278
Occupational_pollution	M00080	Neis_low	555	0:1	260:295	-340.76338	0.0154956045666417	8.95278375026363	0.00289591520614047
Occupational_pollution	M00481	Neis_high	557	0:1	280:277	178.02158	0.00128815510444981	0.735185347336391	0.391583067613269
